ma_san_pham,so_sao,ma_khach_hang
308500015,5,443
308500015,5,1030
422216594,5,689
422208977,5,402
345800013,5,3014
204100019,5,2517
100220035,5,1750
100250032,5,3556
422205163,5,2375
249500019,5,2027
422209718,5,2928
422204884,5,1118
422208183,4,2273
100230056,5,736
100230056,5,731
422205637,4,4234
422203776,5,2696
422216098,5,1806
204900005,5,1281
204900056,5,1268
357100011,5,2255
308500037,5,2450
422203300,2,2647
422204388,5,2484
308500018,5,2405
204100019,5,681
422204167,4,319
308500013,5,2416
422212331,5,132
308500015,5,2450
422202580,5,2887
200400004,5,677
207500001,5,2085
308500004,5,2344
422202580,5,2893
422204259,4,182
100230064,5,706
422208976,5,414
422211446,5,322
249500027,4,441
204900056,4,1469
422208976,5,380
249500019,5,2019
100230057,5,777
100230057,5,787
343700002,3,2528
422204259,4,201
422208974,4,378
205100136,5,223
204900004,5,1467
204900004,5,1487
245500009,5,324
422206648,5,142
204100018,5,2553
422212331,5,1245
422205163,5,2336
201600019,5,3362
422205164,5,2434
200500293,5,2523
422216603,5,1282
200400003,4,742
318900002,3,1370
422212097,5,384
422204910,5,1061
422209262,5,1944
205100146,4,306
422208975,5,421
327500002,5,270
308500015,5,2382
204900056,5,1490
422206537,5,2498
100150059,5,1972
422207414,5,1348
422210980,2,1339
100230064,5,801
422205164,5,679
422205809,5,138
422200305,3,1394
422203301,5,350
200400004,5,715
100220037,5,1734
206400009,5,2241
204100019,5,689
204100078,5,140
422208974,5,415
100230059,5,35
422208972,5,403
253900006,4,616
422217292,4,1162
422205162,5,2438
422205160,5,2466
422204259,5,236
223600010,4,3338
204900159,3,1453
422202253,5,2427
422211446,5,341
422211878,5,1328
318900012,5,56
308500013,5,2456
357100004,5,966
331300002,5,2749
226200018,3,676
204900159,5,1495
422206648,5,235
100230057,5,704
422209841,4,2140
200400003,4,404
205100146,4,253
204100054,5,691
100230064,5,701
422217292,5,1220
249500028,4,2195
365000013,5,4038
422205164,5,2308
204100019,3,2385
204100019,5,2327
422211446,5,145
358300002,5,2891
318900011,5,35
331300002,5,3972
248700035,3,162
422218629,5,1144
308500004,5,672
422206648,4,171
243300007,1,2665
422203807,5,269
308500037,1,3317
200400004,5,745
308100018,5,3342
422211446,5,205
308500013,5,680
200400004,5,256
422201504,5,1074
204900056,5,1292
